🥇,1f947
🫖,1fad6
📆,1f4c6
🧸,1f9f8
☎️,260e fe0f
📞,1f4de
🔭,1f52d
📺,1f4fa
🕙,1f559
🕥,1f565
🎾,1f3be
⛺,26fa
🧪,1f9ea
🌡️,1f321 fe0f
🤔,1f914
🩴,1fa74
💭,1f4ad
🧵,1f9f5
🕒,1f552
🕞,1f55e
👎,1f44e
👍,1f44d
🎫,1f3ab
🐅,1f405
🐯,1f42f
⏲️,23f2 fe0f
😫,1f62b
🚽,1f6bd
🗼,1f5fc
🍅,1f345
👅,1f445
🧰,1f9f0
🦷,1f9b7
🪥,1faa5
🔝,1f51d
🎩,1f3a9
🌪️,1f32a fe0f
🖲️,1f5b2 fe0f
🚜,1f69c
™️,2122 fe0f
🚆,1f686
🚊,1f68a
🚋,1f68b
🏳️‍⚧️,1f3f3 fe0f 200d 26a7 fe0f
⚧️,26a7 fe0f
🚩,1f6a9
📐,1f4d0
🔱,1f531
🧌,1f9cc
🚎,1f68e
🏆,1f3c6
🍹,1f379
🐠,1f420
🎺,1f3ba
🌷,1f337
🥃,1f943
🦃,1f983
🐢,1f422
🕛,1f55b
🕧,1f567
💕,1f495
🕑,1f551
🐫,1f42b
🕝,1f55d
☂️,2602 fe0f
⛱️,26f1 fe0f
☔,2614
😒,1f612
🦄,1f984
🔓,1f513
⬆️,2b06 fe0f
🆙,1f199
↕️,2195 fe0f
↖️,2196 fe0f
↗️,2197 fe0f
🙃,1f643
🔼,1f53c
🚦,1f6a6
📳,1f4f3
✌️,270c fe0f
📹,1f4f9
📼,1f4fc
🎻,1f3bb
♍,264d
🌋,1f30b
🏐,1f3d0
🆚,1f19a
🖖,1f596
🧇,1f9c7
🌘,1f318
🌖,1f316
⚠️,26a0 fe0f
🗑️,1f5d1 fe0f
⌚,231a
🐃,1f403
🚾,1f6be
🔫,1f52b
🌊,1f30a
🍉,1f349
👋,1f44b
〰️,3030 fe0f
🌒,1f312
🌔,1f314
🙀,1f640
😩,1f629
💒,1f492
🐋,1f40b
🛞,1f6de
☸️,2638 fe0f
♿,267f
🦯,1f9af
⚪,26aa
❕,2755
🏳️,1f3f3 fe0f
💮,1f4ae
🤍,1f90d
⬜,2b1c
◻️,25fb fe0f
◽,25fd
❔,2754
▫️,25ab fe0f
🔳,1f533
🥀,1f940
🎐,1f390
🌬️,1f32c fe0f
🪟,1fa9f
🍷,1f377
😉,1f609
😜,1f61c
🐺,1f43a
👩,1f469
👩‍🎨,1f469 200d 1f3a8
👩‍🚀,1f469 200d 1f680
👩‍🦲,1f469 200d 1f9b2
🧔‍♀️,1f9d4 200d 2640 fe0f
🚴‍♀️,1f6b4 200d 2640 fe0f
👱‍♀️,1f471 200d 2640 fe0f
⛹️‍♀️,26f9 fe0f 200d 2640 fe0f
🙇‍♀️,1f647 200d 2640 fe0f
🤸‍♀️,1f938 200d 2640 fe0f
🧗‍♀️,1f9d7 200d 2640 fe0f
👷‍♀️,1f477 200d 2640 fe0f
👩‍🍳,1f469 200d 1f373
👩‍🦱,1f469 200d 1f9b1
💃,1f483
🧏‍♀️,1f9cf 200d 2640 fe0f
🕵️‍♀️,1f575 fe0f 200d 2640 fe0f
🧝‍♀️,1f9dd 200d 2640 fe0f
🤦‍♀️,1f926 200d 2640 fe0f
👩‍🏭,1f469 200d 1f3ed
🧚‍♀️,1f9da 200d 2640 fe0f
👩‍🌾,1f469 200d 1f33e
👩‍🍼,1f469 200d 1f37c
👩‍🚒,1f469 200d 1f692
🙍‍♀️,1f64d 200d 2640 fe0f
🧞‍♀️,1f9de 200d 2640 fe0f
🙅‍♀️,1f645 200d 2640 fe0f
🙆‍♀️,1f646 200d 2640 fe0f
💇‍♀️,1f487 200d 2640 fe0f
💆‍♀️,1f486 200d 2640 fe0f
🏌️‍♀️,1f3cc fe0f 200d 2640 fe0f
💂‍♀️,1f482 200d 2640 fe0f
👩‍⚕️,1f469 200d 2695 fe0f
🧘‍♀️,1f9d8 200d 2640 fe0f
👩‍🦽,1f469 200d 1f9bd
👩‍🦼,1f469 200d 1f9bc
🧖‍♀️,1f9d6 200d 2640 fe0f
🤵‍♀️,1f935 200d 2640 fe0f
👩‍⚖️,1f469 200d 2696 fe0f
🤹‍♀️,1f939 200d 2640 fe0f
🧎‍♀️,1f9ce 200d 2640 fe0f
🏋️‍♀️,1f3cb fe0f 200d 2640 fe0f
🧙‍♀️,1f9d9 200d 2640 fe0f
👩‍🔧,1f469 200d 1f527
🧜‍♀️,1f9dc 200d 2640 fe0f
🚵‍♀️,1f6b5 200d 2640 fe0f
👩‍💼,1f469 200d 1f4bc
👩‍✈️,1f469 200d 2708 fe0f
🤾‍♀️,1f93e 200d 2640 fe0f
🤽‍♀️,1f93d 200d 2640 fe0f
👮‍♀️,1f46e 200d 2640 fe0f
🙎‍♀️,1f64e 200d 2640 fe0f
🙋‍♀️,1f64b 200d 2640 fe0f
👩‍🦰,1f469 200d 1f9b0
🚣‍♀️,1f6a3 200d 2640 fe0f
🏃‍♀️,1f3c3 200d 2640 fe0f
👩‍🔬,1f469 200d 1f52c
🤷‍♀️,1f937 200d 2640 fe0f
👩‍🎤,1f469 200d 1f3a4
🧍‍♀️,1f9cd 200d 2640 fe0f
👩‍🎓,1f469 200d 1f393
🦸‍♀️,1f9b8 200d 2640 fe0f
🦹‍♀️,1f9b9 200d 2640 fe0f
🏄‍♀️,1f3c4 200d 2640 fe0f
🏊‍♀️,1f3ca 200d 2640 fe0f
👩‍🏫,1f469 200d 1f3eb
💁‍♀️,1f481 200d 2640 fe0f
🧛‍♀️,1f9db 200d 2640 fe0f
🚶‍♀️,1f6b6 200d 2640 fe0f
👳‍♀️,1f473 200d 2640 fe0f
👩‍🦳,1f469 200d 1f9b3
👯‍♀️,1f46f 200d 2640 fe0f
🧕,1f9d5
👰‍♀️,1f470 200d 2640 fe0f
👩‍🦯,1f469 200d 1f9af
🤼‍♀️,1f93c 200d 2640 fe0f
🧟‍♀️,1f9df 200d 2640 fe0f
👢,1f462
👚,1f45a
👒,1f452
👡,1f461
🚺,1f6ba
🪵,1fab5
🥴,1f974
🗺️,1f5fa fe0f
🪱,1fab1
😟,1f61f
🎁,1f381
🔧,1f527
✍️,270d fe0f
🩻,1fa7b
🧶,1f9f6
🥱,1f971
🟡,1f7e1
💛,1f49b
🟨,1f7e8
💴,1f4b4
☯️,262f fe0f
🪀,1fa80
🤪,1f92a
🦓,1f993
🤐,1f910
💤,1f4a4
